id,date,attack_type,platform,description,impact,mitigation,source
1,2024-04-05,Business Email Compromise,VPN,Attackers launched phishing techniques to install backdoors through USB drives during business hours.,Critical infrastructure systems were compromised.,Enable MFA and reset all compromised credentials.,External Threat Feed
2,2021-01-14,Social Engineering,Email,"Scammers orchestrated file sharing services to escalate privileges via man-in-the-middle attacks, targeting multiple organizations.",Critical infrastructure systems were compromised.,Block malicious IP ranges and update firewall rules.,CERT Advisory
3,2021-11-26,Fake Investment Scam,SMS,A targeted campaign perpetrated employee email accounts to gain unauthorized access using privilege escalation.,"No direct financial loss, but credentials were exposed.",Enable advanced threat protection on email gateways.,Threat Intelligence Platform
4,2024-06-30,Social Engineering,Instagram,Security teams detected that attackers perpetrated network protocols to escalate privileges using cloud services.,Internal systems experienced minor disruption.,Educate employees regarding phishing indicators.,Threat Intelligence Platform
5,2020-06-25,Business Email Compromise,Corporate Network,"Adversaries leveraged outdated software versions to install backdoors using AI-generated content, targeting multiple organizations.",Several users reported financial loss.,Deploy endpoint detection and response (EDR) solutions.,Threat Intelligence Platform
6,2024-02-13,Social Engineering,VPN,"Cybercriminals installed malware payloads to move laterally across networks using cloud services, targeting multiple organizations.",The service was temporarily unavailable.,Verify sender identity before responding.,Threat Intelligence Platform
7,2021-03-16,Fake Investment Scam,Facebook,Security teams detected that sophisticated threat actors leveraged unpatched security flaws to harvest PII using drive-by downloads.,The service was temporarily unavailable.,Educate employees regarding phishing indicators.,Threat Intelligence Platform
8,2023-11-25,Social Engineering,SMS,A targeted campaign exploited web applications to escalate privileges via cross-site scripting.,Sensitive intellectual property was exfiltrated.,Run full malware scan and isolate infected hosts.,Internal SOC Report
9,2024-10-14,Account Takeover,Banking App,Malicious actors targeted malware payloads to exfiltrate sensitive data through deepfake technology during business hours.,"No direct financial loss, but credentials were exposed.",Implement email filtering enhancements.,Internal SOC Report
10,2023-08-05,Account Takeover,Facebook,"Cybercriminals leveraged corporate networks to gain unauthorized access via SMS messages, targeting multiple organizations.",Two devices were infected and required isolation.,Deploy endpoint detection and response (EDR) solutions.,CERT Advisory
11,2020-07-04,Account Takeover,WhatsApp,"A group of attackers leveraged weak authentication to install backdoors, resulting in unauthorized access.",Several users reported financial loss.,Enable advanced threat protection on email gateways.,External Threat Feed
12,2020-12-19,Credential Harvesting,SMS,Unauthorized users impersonated zero-day exploits to conduct reconnaissance.,Internal systems experienced minor disruption.,Educate employees regarding phishing indicators.,User Incident Report
13,2024-04-22,Business Email Compromise,VPN,Security teams detected that hackers executed IoT devices to move laterally across networks through USB drives.,Two devices were infected and required isolation.,Enable MFA and reset all compromised credentials.,External Threat Feed
14,2020-04-08,Business Email Compromise,Instagram,Forensic analysis showed cybercriminals leveraged backup systems to bypass security controls via man-in-the-middle attacks.,Critical infrastructure systems were compromised.,Conduct security awareness training for all staff.,CERT Advisory
15,2023-07-07,Phishing Scam,LinkedIn,Cybercriminals successfully installed authentication mechanisms to bypass security controls using social media.,"No direct financial loss, but credentials were exposed.",Implement email filtering enhancements.,Threat Intelligence Platform
16,2024-08-22,Credential Harvesting,SMS,Forensic analysis showed attackers compromised phishing techniques to install backdoors through compromised websites.,Internal systems experienced minor disruption.,Run full malware scan and isolate infected hosts.,Law Enforcement Notification
17,2022-07-05,Credential Harvesting,LinkedIn,A targeted credential harvesting compromised backup systems to gain unauthorized access through compromised websites.,Critical infrastructure systems were compromised.,Deploy intrusion detection systems (IDS) and monitor alerts.,CERT Advisory
18,2024-05-22,Credential Harvesting,Corporate Network,Multiple malicious actors compromised exposed APIs to install backdoors via man-in-the-middle attacks.,Customer data was potentially leaked.,Implement network segmentation to limit lateral movement.,Law Enforcement Notification
19,2020-04-08,Business Email Compromise,Instagram,A multi-stage campaign leveraged web applications to establish persistence using social media.,Two devices were infected and required isolation.,Implement email filtering enhancements.,Law Enforcement Notification
20,2023-10-07,Account Takeover,Facebook,A persistent account takeover conducted weak authentication to establish persistence via malicious links.,Internal systems experienced minor disruption.,Run full malware scan and isolate infected hosts.,Law Enforcement Notification
21,2023-05-27,Social Engineering,VPN,Attackers executed database systems to exfiltrate sensitive data through deepfake technology.,Sensitive intellectual property was exfiltrated.,Enable MFA and reset all compromised credentials.,CERT Advisory
22,2024-06-16,Social Engineering,Facebook,A large-scale social engineering deployed compromised accounts to move laterally across networks via man-in-the-middle attacks.,Customer data was potentially leaked.,Deploy endpoint detection and response (EDR) solutions.,Internal SOC Report
23,2024-01-19,Fake Investment Scam,Website,Threat actors orchestrated cloud infrastructure to establish persistence using privilege escalation during business hours.,Several users reported financial loss.,Patch outdated systems immediately.,Internal SOC Report
24,2021-08-09,Malware Infection,Facebook,Multiple unauthorized users harvested phishing techniques to conduct reconnaissance via command and control servers.,Two devices were infected and required isolation.,Verify sender identity before responding.,User Incident Report
25,2022-03-28,Account Takeover,Instagram,Unauthorized users harvested employee email accounts to install backdoors through SQL injection.,Several users reported financial loss.,Patch outdated systems immediately.,User Incident Report
26,2021-08-02,DDoS Attack,LinkedIn,Threat actors successfully orchestrated database systems to exfiltrate sensitive data via command and control servers.,Critical infrastructure systems were compromised.,Conduct security awareness training for all staff.,CERT Advisory
27,2024-10-21,Credential Harvesting,VPN,Security teams detected that sophisticated threat actors compromised employee email accounts to exfiltrate sensitive data through email attachments.,Customer data was potentially leaked.,Block malicious IP ranges and update firewall rules.,External Threat Feed
28,2021-06-28,Business Email Compromise,Corporate Network,"Cybercriminals launched outdated software versions to move laterally across networks through USB drives, targeting multiple organizations.",Internal systems experienced minor disruption.,Conduct security awareness training for all staff.,Internal SOC Report
29,2022-06-28,Account Takeover,Email,Security teams detected that attackers leveraged employee email accounts to exfiltrate sensitive data using drive-by downloads.,Multiple corporate accounts were accessed unlawfully.,Educate employees regarding phishing indicators.,Threat Intelligence Platform
30,2022-04-24,Fake Investment Scam,SMS,"Cybercriminals initiated weak authentication to harvest PII, resulting in credential theft.",Customer data was potentially leaked.,Implement network segmentation to limit lateral movement.,Internal SOC Report
31,2022-12-29,Phishing Scam,SMS,A persistent phishing scam perpetrated network protocols to deploy ransomware via SMS messages.,Multiple corporate accounts were accessed unlawfully.,Enable MFA and reset all compromised credentials.,External Threat Feed
32,2024-09-24,Credential Harvesting,VPN,Hackers launched unpatched security flaws to gain unauthorized access through USB drives.,"No direct financial loss, but credentials were exposed.",Enable MFA and reset all compromised credentials.,External Threat Feed
33,2024-08-10,Ransomware Attack,VPN,Unauthorized users conducted social engineering tactics to exfiltrate sensitive data using cloud services during business hours.,Internal systems experienced minor disruption.,Enable advanced threat protection on email gateways.,Threat Intelligence Platform
34,2024-02-10,DDoS Attack,Instagram,Multiple unauthorized users conducted outdated software versions to exfiltrate sensitive data through deepfake technology.,Ransomware encrypted critical business files.,Verify sender identity before responding.,CERT Advisory
35,2021-06-07,Ransomware Attack,Corporate Network,"Hackers compromised social engineering tactics to harvest PII using AI-generated content, targeting multiple organizations.",Internal systems experienced minor disruption.,Educate employees regarding phishing indicators.,CERT Advisory
36,2021-09-24,Ransomware Attack,Email,Threat actors conducted weak authentication to conduct reconnaissance.,Multiple corporate accounts were accessed unlawfully.,Block malicious IP ranges and update firewall rules.,Threat Intelligence Platform
37,2022-06-20,Ransomware Attack,Corporate Network,A targeted ransomware attack harvested backup systems to steal credentials through compromised websites.,Internal systems experienced minor disruption.,Deploy intrusion detection systems (IDS) and monitor alerts.,External Threat Feed
38,2023-07-28,Account Takeover,LinkedIn,Forensic analysis showed scammers exploited exposed APIs to conduct reconnaissance through USB drives.,Ransomware encrypted critical business files.,Run full malware scan and isolate infected hosts.,CERT Advisory
39,2024-06-24,Phishing Scam,Facebook,Forensic analysis showed threat actors leveraged exposed APIs to conduct reconnaissance using cloud services.,"No direct financial loss, but credentials were exposed.",Verify sender identity before responding.,User Incident Report
40,2021-03-15,Phishing Scam,Corporate Network,A persistent phishing scam targeted authentication mechanisms to conduct reconnaissance through USB drives.,The service was temporarily unavailable.,Verify sender identity before responding.,Internal SOC Report
41,2024-06-16,Fake Investment Scam,VPN,Unauthorized users perpetrated IoT devices to exfiltrate sensitive data through lateral movement during business hours.,Several users reported financial loss.,Educate employees regarding phishing indicators.,Threat Intelligence Platform
42,2021-02-22,DDoS Attack,LinkedIn,Security teams detected that malicious actors initiated cloud infrastructure to bypass security controls using AI-generated content.,Two devices were infected and required isolation.,Run full malware scan and isolate infected hosts.,CERT Advisory
43,2022-02-04,Credential Harvesting,Corporate Network,An investigation revealed that threat actors targeted IoT devices to establish persistence through SQL injection.,Internal systems experienced minor disruption.,Block malicious IP ranges and update firewall rules.,CERT Advisory
44,2024-05-15,Identity Theft,Email,A multi-stage identity theft compromised file sharing services to gain unauthorized access via cross-site scripting.,Several users reported financial loss.,Implement email filtering enhancements.,Internal SOC Report
